timestamp,cell_id,SINR,latitude,longitude,RSRP,RSRQ,fault,model,id_x,user_count,id_y,traffic
2023-09-01 00:00:00,0,11.236203565420874,-22.58277861,-168.6854932,-63.86190035,-6.649208931,False,Model_C,,184.0,,153GB
2023-09-01 00:00:00,1,28.521429192297486,81.12857515,49.10774805,-119.4481769,-18.27498377,False,Model_B,1.0,303.0,1.0,879GB
2023-09-01 00:00:00,2,21.959818254342153,41.75890953,-66.83184681,-102.9647415,-14.80881437,False,Model_A,2.0,256.0,2.0,964GB
2023-09-01 00:00:00,3,17.959754525911098,17.75852716,3.085448819,-80.88232443,-16.18742174,False,Model_C,3.0,132.0,3.0,492GB
2023-09-01 00:00:00,4,4.680559213273096,-61.91664472,146.7239306,-90.36637709,-16.96001394,False,Model_A,4.0,196.0,4.0,682GB
2023-09-01 00:00:00,5,4.679835610086079,-61.92098634,-90.25479751,-76.74360454,-14.76296654,False,Model_C,5.0,30.0,5.0,417GB
2023-09-01 00:00:00,6,1.7425083650459838,-79.54494981,-32.26214771,-97.93705182,-15.49155975,False,Model_C,6.0,295.0,6.0,898GB
2023-09-01 00:00:00,7,25.985284373248057,65.91170624,91.99840988,-61.2664285,-11.7253834,False,Model_B,7.0,334.0,7.0,705GB
2023-09-01 00:00:00,8,18.033450352296263,18.20070211,-97.63266042,-72.31132179,-11.45516942,False,Model_C,8.0,181.0,8.0,810GB
2023-09-01 00:00:00,9,21.242177333881365,37.453064,-152.2872325,-108.2854207,-7.718314041,False,Model_A,9.0,430.0,9.0,934GB
2023-09-01 00:00:00,10,0.6175348288740734,-86.29479103,-75.68947695,-73.88675914,-19.25873588,False,Model_C,10.0,28.0,10.0,551GB
2023-09-01 00:00:00,11,29.09729556485983,84.58377339,-121.9603366,-62.76428538,-4.447305366,False,Model_B,11.0,170.0,11.0,270GB
2023-09-01 00:00:00,12,24.973279224012654,59.83967534,154.6911548,-62.81568918,-14.37724482,False,Model_A,12.0,466.0,12.0,178GB
2023-09-01 00:00:00,13,6.370173320348284,-51.77896008,110.9233366,-62.18280137,-5.498839257,False,Model_C,13.0,322.0,13.0,961GB
2023-09-01 00:00:00,14,5.454749016213018,-57.2715059,48.02535234,-108.5453381,-15.43592743,False,Model_A,14.0,426.0,14.0,448GB
2023-09-01 00:00:00,15,5.502135295603015,-56.98718823,133.7258125,-86.59192425,-4.085368839,False,Model_B,15.0,192.0,15.0,774GB
