timestamp,cell_id,latitude,longitude,RSRP,RSRQ,fault,model
2023/9/1 0:00,0,-22.58277861,-168.6854932,-63.86190035,-6.649208931,FALSE,Model_C
2023/9/1 0:00,1,81.12857515,49.10774805,-119.4481769,-18.27498377,FALSE,Model_B
2023/9/1 0:00,2,41.75890953,-66.83184681,-102.9647415,-14.80881437,FALSE,Model_A
2023/9/1 0:00,3,17.75852716,3.085448819,-80.88232443,-16.18742174,FALSE,Model_C
2023/9/1 0:00,4,-61.91664472,146.7239306,-90.36637709,-16.96001394,FALSE,Model_A
2023/9/1 0:00,5,-61.92098634,-90.25479751,-76.74360454,-14.76296654,FALSE,Model_C
2023/9/1 0:00,6,-79.54494981,-32.26214771,-97.93705182,-15.49155975,FALSE,Model_C
2023/9/1 0:00,7,65.91170624,91.99840988,-61.2664285,-11.7253834,FALSE,Model_B
2023/9/1 0:00,8,18.20070211,-97.63266042,-72.31132179,-11.45516942,FALSE,Model_C
2023/9/1 0:00,9,37.453064,-152.2872325,-108.2854207,-7.718314041,FALSE,Model_A
2023/9/1 0:00,10,-86.29479103,-75.68947695,-73.88675914,-19.25873588,FALSE,Model_C
2023/9/1 0:00,11,84.58377339,-121.9603366,-62.76428538,-4.447305366,FALSE,Model_B
2023/9/1 0:00,12,59.83967534,154.6911548,-62.81568918,-14.37724482,FALSE,Model_A
2023/9/1 0:00,13,-51.77896008,110.9233366,-62.18280137,-5.498839257,FALSE,Model_C
2023/9/1 0:00,14,-57.2715059,48.02535234,-108.5453381,-15.43592743,FALSE,Model_A
2023/9/1 0:00,15,-56.98718823,133.7258125,-86.59192425,-4.085368839,FALSE,Model_B
2023/9/1 0:00,16,-35.23639627,109.3219477,-114.1694104,-9.544877146,FALSE,Model_B
2023/9/1 0:00,17,4.456157694,-112.8347788,-104.7501811,-14.98006,FALSE,Model_B
2023/9/1 0:00,18,-12.24989664,141.3212395,-111.8027201,-7.948513053,FALSE,Model_A
2023/9/1 0:00,19,-37.57875476,14.16320709,-71.43833067,-6.22807229,FALSE,Model_B
2023/9/1 0:00,20,20.13352105,110.6784559,-115.1043492,-19.91185733,FALSE,Model_A
2023/9/1 0:00,21,-64.89110508,142.592868,-115.743545,-13.25467494,TRUE,Model_A
2023/9/1 0:00,22,-37.41396326,-65.51874901,-99.72029059,-13.61508981,TRUE,Model_C
2023/9/1 0:00,23,-24.05486821,-140.3813072,-79.67843188,-14.42140465,FALSE,Model_C
2023/9/1 0:00,24,-7.907402841,-97.94334148,-102.8075249,-9.95583457,TRUE,Model_B
2023/9/1 0:00,25,51.33167305,-26.24119609,-70.64396636,-13.8767591,FALSE,Model_B
2023/9/1 0:00,26,-54.05871921,114.4853157,-70.32785977,-15.38377043,FALSE,Model_A
2023/9/1 0:00,27,2.562198914,129.86301,-114.8791521,-19.12141074,FALSE,Model_C
2023/9/1 0:00,28,16.6346224,-177.497233,-78.02926735,-17.64799743,FALSE,Model_C
2023/9/1 0:00,29,-81.63892571,3.869028928,-89.0219791,-14.50973996,FALSE,Model_B
2023/9/1 0:00,30,19.35807334,-29.73203887,-93.98875575,-7.351275069,FALSE,Model_C
